1/29 21:23:27.248  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.13.3,PROJECT_ID,2
1/29 21:23:27.267  SPELL_CAST_START,Player-4701-00A3F633,"Moocow-Mograine",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,19943,"Flash of Light",0x2
1/29 21:23:27.276  SPELL_CAST_SUCCESS,Player-4701-00D702E4,"Artimize-Mograine",0x514,0x0,Creature-0-4448-249-11097-12129-000031F3CE,"Onyxian Warder",0xa48,0x40,20904,"Aimed Shot",0x1,0000000000000000,0000000000000000,0,0,0,0,0,-1,0,0,0,0.00,0.00,0,0.0000,0
1/29 21:23:27.402  SPELL_CAST_START,Player-4701-00D702E4,"Artimize-Mograine",0x514,0x0,0000000000000000,nil,0x80000000,0x80000000,75,"Auto Shot",0x1
1/29 21:23:27.458  SPELL_CAST_SUCCESS,Player-4701-00AF1CC3,"Zulue-Mograine",0x512,0x0,Creature-0-4448-249-11097-12129-000031F3CE,"Onyxian Warder",0xa48,0x40,10181,"Frostbolt",0x10,Player-4701-00AF1CC3,0000000000000000,100,100,0,0,0,-1,0,0,0,-94.22,-105.76,0,3.7817,66
1/29 21:23:27.458  SPELL_CAST_START,Player-4701-00AF1CC3,"Zulue-Mograine",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,10181,"Frostbolt",0x10
1/29 21:23:27.458  SPELL_CAST_SUCCESS,Player-4701-009D4249,"Theta-Mograine",0x514,0x0,Creature-0-4448-249-11097-12129-000031F3CE,"Onyxian Warder",0xa48,0x40,10947,"Mind Blast",0x20,Player-4701-009D4249,0000000000000000,100,100,0,0,0,-1,0,0,0,-101.95,-107.88,0,4.0041,63
1/29 21:23:27.458  SPELL_CAST_SUCCESS,Player-4701-009D4249,"Theta-Mograine",0x514,0x0,Creature-0-4448-249-11097-12129-000031F3CE,"Onyxian Warder",0xa48,0x40,18807,"Mind Flay",0x20,Player-4701-009D4249,0000000000000000,100,100,0,0,0,-1,0,0,0,-101.95,-107.88,0,4.0041,63
1/29 21:23:27.498  SWING_DAMAGE,Player-4701-009BA61C,"Tranquilizer-Mograine",0x514,0x0,Creature-0-4448-249-11097-12129-000031F3CE,"Onyxian Warder",0xa48,0x40,Player-4701-009BA61C,0000000000000000,100,100,0,0,0,-1,0,0,0,-114.49,-122.94,0,3.9309,66,177,274,-1,1,0,0,0,nil,1,nil
1/29 21:23:27.520  SPELL_PERIODIC_ENERGIZE,Player-4701-00A3F633,"Moocow-Mograine",0x512,0x0,Player-4701-009D4249,"Theta-Mograine",0x514,0x0,25894,"Greater Blessing of Wisdom",0x2,Player-4701-009D4249,0000000000000000,100,100,0,0,0,-1,0,0,0,-101.95,-107.88,0,4.0041,63,36.0000,0.0000,0,6826
1/29 21:23:27.520  SPELL_PERIODIC_ENERGIZE,Player-4701-00A3F633,"Moocow-Mograine",0x512,0x0,Player-4701-009D9BAD,"Petzq-Mograine",0x514,0x0,25894,"Greater Blessing of Wisdom",0x2,Player-4701-009D9BAD,0000000000000000,100,100,0,0,0,-1,0,0,0,-96.66,-113.58,0,3.8524,66,36.0000,0.0000,0,7242
