1/27 19:25:31.709  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.13.3,PROJECT_ID,2
1/27 19:33:34.931  ENCOUNTER_START,1084,"Onyxia",9,40,249
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-008838B8,317,247,565,60,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8279,0,(),(0,0,0,0),[],[(16963,76,(1503,0,0),(),()),(18404,74,(),(),()),(16868,66,(2483,0,0),(),()),(4334,34,(),(),()),(12895,62,(928,0,0),(),()),(16864,66,(),(),()),(18380,62,(1503,0,0),(),()),(16862,66,(911,0,0),(),()),(18812,71,(1886,0,0),(),()),(16863,66,(1887,0,0),(),()),(19325,65,(),(),()),(17063,78,(),(),()),(17774,48,(),(),()),(13965,63,(),(),()),(17102,74,(849,0,0),(),()),(18348,71,(1900,1643,0),(),()),(17066,67,(929,0,0),(),()),(18323,58,(),(),()),(5976,1,(),(),())],[Pet-0-4468-0-70-416-0100007551,11767,Player-4701-0136EE45,21850,Player-4701-00B48D53,25898,Player-4701-0136EE45,9910,Player-4701-00ED0347,21564,Player-4701-00889D17,25895,Player-4701-00889D17,19978,Player-4701-00C4A1E3,27681,Player-4701-008838B8,17538,Player-4701-00ED0347,10929,Player-4701-008838B8,3223,Player-4701-008838B8,11405,Player-4701-00B48D53,19900,Player-4701-008838B8,11371,Player-4701-008838B8,2458,Player-4701-008838B8,18499,Creature-0-4469-249-14129-12129-0000AF3769,18958,Player-4701-0136EE45,9841,Player-4701-0136EE45,9858,Player-4701-008838B8,11551,Creature-0-4469-249-14129-12129-0000AF3769,12097,Player-4701-01040484,6346,Player-4701-01040484,10958,Player-4701-00B444AE,20765,Player-4701-008838B8,8219]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-00889D17,166,92,302,302,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888,0,(),(0,0,0,0),[],[(16955,76,(2544,0,0),(),()),(18317,58,(),(),()),(16856,66,(),(),()),(45,1,(),(),()),(13346,63,(928,0,0),(),()),(18391,62,(),(),()),(18875,64,(2544,0,0),(),()),(13954,61,(911,0,0),(),()),(13969,61,(1883,0,0),(),()),(18527,63,(),(),()),(12543,60,(),(),()),(16058,63,(),(),()),(18472,62,(),(),()),(11819,59,(),(),()),(18510,62,(1888,0,0),(),()),(11923,57,(),(),()),(19312,65,(),(),()),(0,0,(),(),()),(5976,1,(),(),())],[Player-4701-0136EE45,21850,Player-4701-00AF1CC3,23028,Player-4701-00ED0347,21564,Player-4701-00ED0347,27681,Player-4701-00B48D53,25898,Player-4701-00889D17,25894,Player-4701-00889D17,22730]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-0088B68B,53,59,260,393,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,(),(0,0,0,0),[],[(16914,76,(2544,0,0),(),()),(12103,63,(),(),()),(11782,57,(2483,0,0),(),()),(4335,37,(),(),()),(14152,62,(928,0,0),(),()),(16802,66,(),(),()),(16796,66,(2544,0,0),(),()),(23291,66,(911,0,0),(),()),(18497,60,(1883,0,0),(),()),(23290,66,(930,0,0),(),()),(12543,60,(),(),()),(13001,61,(),(),()),(18820,66,(),(),()),(12930,60,(),(),()),(17078,72,(1888,0,0),(),()),(13964,62,(2504,0,0),(),()),(19310,65,(),(),()),(19108,63,(),(),()),(0,0,(),(),())],[Player-4701-0136EE45,21850,Player-4701-00AF1CC3,23028,Player-4701-00ED0347,21564,Player-4701-00ED0347,27681,Player-4701-00B48D53,25898,Player-4701-00889D17,25895,Player-4701-00889D17,19900,Player-4701-0088B68B,17543,Player-4701-0088B68B,17539,Player-4701-0088B68B,21920]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-00895C38,74,447,363,189,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,0,(),(0,0,0,0),[],[(16939,76,(),(),()),(18404,74,(),(),()),(16848,66,(),(),()),(4336,40,(),(),()),(16845,66,(1892,0,0),(),()),(16851,66,(),(),()),(16847,66,(),(),()),(16849,66,(929,0,0),(),()),(18812,71,(1883,0,0),(),()),(15063,58,(1887,0,0),(),()),(18500,61,(),(),()),(19325,65,(),(),()),(18473,62,(),(),()),(13965,63,(),(),()),(13340,63,(849,0,0),(),()),(18520,63,(),(),()),(0,0,(),(),()),(18713,75,(664,0,0),(),()),(5976,1,(),(),())],[Player-4701-00895C38,14322,Player-4701-0136EE45,21850,Player-4701-00AF1CC3,10157,Player-4701-00B48D53,25898,Player-4701-00889D17,25895,Player-4701-00C4A1E3,21564,Pet-0-4468-1-74-9696-01002384D4,24597,Player-4701-00895C38,18192,Player-4701-00895C38,11334,Player-4701-00889D17,25894]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-0093F1BD,151,325,326,56,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298,0,(),(0,0,0,0),[],[(16908,76,(),(),()),(15411,63,(),(),()),(16708,60,(),(),()),(49,1,(),(),()),(16820,66,(1843,0,0),(),()),(16827,66,(),(),()),(15062,60,(1843,0,0),(),()),(13210,60,(1843,0,0),(),()),(13120,55,(),(),()),(15063,58,(1843,0,0),(),()),(18500,61,(),(),()),(17713,54,(),(),()),(19141,50,(),(),()),(13965,63,(),(),()),(13340,63,(),(),()),(17071,69,(0,627,0),(),()),(5267,63,(0,625,0),(),()),(13380,61,(),(),()),(0,0,(),(),())],[Player-4701-0136EE45,21850,Player-4701-00C4A1E3,21564,Player-4701-00ED0347,27681,Player-4701-015E7233,20906,Player-4701-0093F1BD,1787,Player-4701-00B48D53,25898,Player-4701-00889D17,25895,Player-4701-016926F8,11551,Pet-0-4469-249-14129-3862-0100252C05,24597,Player-4701-0136EE45,9841]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-0094A4F8,45,59,276,419,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,(),(0,0,0,0),[],[(16914,76,(2544,0,0),(),()),(12103,63,(),(),()),(11782,57,(2483,0,0),(),()),(2577,10,(),(),()),(14152,62,(1892,0,0),(),()),(11662,54,(),(),()),(16915,76,(2544,0,0),(),()),(16800,66,(911,0,0),(),()),(16799,66,(1886,0,0),(),()),(16801,66,(909,0,0),(),()),(12543,60,(),(),()),(942,52,(),(),()),(12930,60,(),(),()),(13968,63,(),(),()),(17078,72,(1888,0,0),(),()),(13964,62,(2504,0,0),(),()),(19310,65,(),(),()),(19108,63,(),(),()),(5976,1,(),(),())],[Player-4701-0136EE45,21850,Player-4701-00AF1CC3,23028,Player-4701-00ED0347,21564,Player-4701-00ED0347,27681,Player-4701-0094A4F8,22783,Player-4701-00B48D53,25898,Player-4701-00889D17,19900,Player-4701-00889D17,25895,Player-4701-0094A4F8,8219,Player-4701-0094A4F8,10223,Player-4701-0094A4F8,17543,Player-4701-0094A4F8,21920,Player-4701-0094A4F8,17539,Player-4701-0094A4F8,22789,Player-4701-0094A4F8,22730]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-009BA61C,220,431,370,60,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446,0,(),(0,0,0,0),[],[(16908,76,(),(),()),(18404,74,(),(),()),(16823,66,(),(),()),(3342,15,(),(),()),(16820,66,(1891,0,0),(),()),(16827,66,(),(),()),(16822,66,(),(),()),(13210,60,(911,0,0),(),()),(16825,66,(927,0,0),(),()),(18823,69,(1887,0,0),(),()),(18500,61,(),(),()),(19325,65,(),(),()),(13965,63,(),(),()),(11815,58,(),(),()),(13340,63,(849,0,0),(),()),(18816,77,(1897,625,0),(),()),(18805,70,(1900,625,0),(),()),(16996,62,(),(),()),(0,0,(),(),())],[Player-4701-0136EE45,21850,Player-4701-00C4A1E3,21564,Player-4701-00ED0347,27681,Player-4701-015E7233,20906,Player-4701-00B48D53,25898,Player-4701-00889D17,25895,Pet-0-4469-249-14129-3862-0100252C05,24597,Player-4701-016926F8,11551,Player-4701-009BA61C,17538,Player-4701-009BA61C,11334,Player-4701-009BA61C,11405,Player-4701-009BA61C,18192,Player-4701-009BA61C,17543,Player-4701-009BA61C,1787,Player-4701-009BA61C,11305]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-00A642C2,342,235,359,66,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,0,(),(0,0,0,0),[],[(12640,61,(),(),()),(18404,74,(),(),()),(16733,60,(),(),()),(38,1,(),(),()),(11726,57,(1891,0,0),(),()),(13959,60,(),(),()),(18380,62,(),(),()),(14616,61,(911,0,0),(),()),(19146,65,(1885,0,0),(),()),(16863,66,(927,0,0),(),()),(19325,65,(),(),()),(13098,63,(),(),()),(11815,58,(),(),()),(13965,63,(),(),()),(13340,63,(849,0,0),(),()),(18832,70,(1900,0,0),(),()),(15806,61,(1900,0,0),(),()),(17072,70,(),(),()),(5976,1,(),(),())],[Player-4701-00A642C2,2458,Player-4701-00A642C2,10672,Player-4701-011C4A8B,9885,Player-4701-00895C38,20906,Player-4701-0136EE45,21850,Player-4701-00B48D53,25898,Player-4701-00889D17,25895,Player-4701-00C4A1E3,21564,Player-4701-0136EE45,9841,Player-4701-00A642C2,18125,Player-4701-00A642C2,29131,Player-4701-00A642C2,11551]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-00AEBB65,48,62,262,429,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,0,(),(0,0,0,0),[],[(16914,76,(2544,0,0),(),()),(18814,78,(),(),()),(11782,57,(),(),()),(6096,1,(),(),()),(14152,62,(928,0,0),(),()),(16802,66,(),(),()),(16915,76,(2544,0,0),(),()),(16800,66,(911,0,0),(),()),(18497,60,(1883,0,0),(),()),(16801,66,(),(),()),(19147,66,(),(),()),(942,52,(),(),()),(13968,63,(),(),()),(12930,60,(),(),()),(17078,72,(1888,0,0),(),()),(17103,71,(2504,0,0),(),()),(19310,65,(),(),()),(19108,63,(),(),()),(0,0,(),(),())],[Player-4701-00AEBB65,13033,Player-4701-00889D17,19900,Player-4701-0136EE45,21850,Player-4701-00AEBB65,22783,Player-4701-00AF1CC3,23028,Player-4701-00ED0347,21564,Player-4701-00ED0347,27681,Player-4701-00B48D53,25898,Player-4701-00889D17,25895,Player-4701-00AEBB65,17539,Player-4701-00AEBB65,22730]
1/27 19:33:34.931  COMBATANT_INFO,Player-4701-00AF1CC3,45,59,306,448,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,0,(),(0,0,0,0),[],[(16795,66,(2544,0,0),(),()),(18814,78,(),(),()),(16797,66,(),(),()),(4335,37,(),(),()),(14340,62,(1892,0,0),(),()),(11662,54,(),(),()),(16796,66,(2544,0,0),(),()),(16800,66,(911,0,0),(),()),(16799,66,(1883,0,0),(),()),(16801,66,(930,0,0),(),()),(12543,60,(),(),()),(18403,74,(),(),()),(12930,60,(),(),()),(13968,63,(),(),()),(17078,72,(1888,0,0),(),()),(18842,70,(2504,0,0),(),()),(0,0,(),(),()),(19108,63,(),(),()),(0,0,(),(),())],[Player-4701-00889D17,19900,Player-4701-00AF1CC3,23028,Player-4701-00ED0347,21564,Player-4701-00ED0347,27681,Player-4701-0136EE45,21850,Player-4701-00B48D53,25898,Player-4701-00889D17,25895,Player-4701-00AF1CC3,22783,Player-4701-00AF1CC3,18194,Player-4701-00AF1CC3,11390]
